;activation;layers;ngrams;regularization;precision;recall;f1-score
30;hard_sigmoid;10;3;0;0,741426838;0,73625;0,734354303
16;sigmoid;6;3;0,1;0,733925536;0,7325;0,731816942
64;sigmoid;10;4;0,1;0,732833092;0,73075;0,729815764
87;sigmoid;6;5;0;0,730475329;0,73;0,729683866
90;hard_sigmoid;6;5;0;0,732476733;0,7295;0,728238677
18;hard_sigmoid;6;3;0;0,727869067;0,72775;0,727605068
51;sigmoid;6;4;0;0,729521465;0,72775;0,727481993
66;hard_sigmoid;10;4;0;0,735199802;0,72925;0,726988762
100;sigmoid;10;5;0,1;0,732024109;0,72775;0,726020622
55;hard_sigmoid;6;4;0,1;0,72743993;0,726;0,725271939
106;relu;10;5;0,1;0,724998649;0,725;0,724940566
54;hard_sigmoid;6;4;0;0,725950979;0,72525;0,724819361
99;sigmoid;10;5;0;0,726898772;0,7255;0,724784909
70;relu;10;4;0,1;0,724492631;0,7245;0,724495591
39;sigmoid;3;4;0;0,724480021;0,72425;0,724037307
58;relu;6;4;0,1;0,724871192;0,72425;0,723850601
28;sigmoid;10;3;0,1;0,72812956;0,72425;0,722608163
102;hard_sigmoid;10;5;0;0,735671661;0,72525;0,721461978
65;sigmoid;10;4;0,2;0,724367066;0,72175;0,720537802
103;hard_sigmoid;10;5;0,1;0,733276588;0,72375;0,720202395
31;hard_sigmoid;10;3;0,1;0,726137574;0,72175;0,719891284
22;relu;6;3;0,1;0,726881931;0,72175;0,719628409
29;sigmoid;10;3;0,2;0,72042179;0,71975;0,71931074
80;hard_sigmoid;3;5;0,2;0,720109833;0,7195;0,719088247
61;tanh;10;4;0,1;0,721100643;0,7195;0,718664
12;tanh;6;3;0;0,720644569;0,71925;0,718496638
42;hard_sigmoid;3;4;0;0,722155326;0,7195;0,718249674
10;relu;3;3;0,1;0,719152878;0,7185;0,718064452
7;hard_sigmoid;3;3;0,1;0,724571988;0,72;0,71804735
35;relu;10;3;0,2;0,729606113;0,72125;0,718016767
89;sigmoid;6;5;0,2;0,718576928;0,71825;0,717972372
105;relu;10;5;0;0,717747937;0,71775;0,717748924
34;relu;10;3;0,1;0,723735838;0,7195;0,717661014
79;hard_sigmoid;3;5;0,1;0,718674856;0,718;0,71755228
43;hard_sigmoid;3;4;0,1;0,716986487;0,717;0,716990375
82;relu;3;5;0,1;0,72121564;0,71825;0,716867034
59;relu;6;4;0,2;0,726025449;0,7195;0,716847589
19;hard_sigmoid;6;3;0,1;0,721815755;0,71725;0,71625375
63;sigmoid;10;4;0;0,730815471;0,72;0,715917382
27;sigmoid;10;3;0;0,727884896;0,71925;0,715868795
95;relu;6;5;0,2;0,721153998;0,71725;0,71549939
107;relu;10;5;0,2;0,726202394;0,71825;0,71507429
76;sigmoid;3;5;0,1;0,719618877;0,7165;0,715037037
81;relu;3;5;0;0,717688159;0,71575;0,714746661
21;relu;6;3;0;0,719609947;0,71625;0,714691212
52;sigmoid;6;4;0,1;0,721876868;0,71675;0,7145397
3;sigmoid;3;3;0;0,71450015;0,7145;0,71442858
69;relu;10;4;0;0,719668191;0,716;0,714320144
40;sigmoid;3;4;0,1;0,718442064;0,7155;0,714093409
23;relu;6;3;0,2;0,717254523;0,715;0,713861099
75;sigmoid;3;5;0;0,714892601;0,71425;0,713802119
15;sigmoid;6;3;0;0,71679259;0,7145;0,713340725
88;sigmoid;6;5;0,1;0,723550258;0,716;0,712905763
78;hard_sigmoid;3;5;0;0,714038548;0,71325;0,712728402
71;relu;10;4;0,2;0,725306007;0,71625;0,71263891
91;hard_sigmoid;6;5;0,1;0,719680983;0,71475;0,712575036
97;tanh;10;5;0,1;0,713847987;0,7125;0,711720945
93;relu;6;5;0;0,715646579;0,713;0,71168154
101;sigmoid;10;5;0,2;0,721817753;0,7145;0,711449948
67;hard_sigmoid;10;4;0,1;0,724835066;0,71525;0,711426192
32;hard_sigmoid;10;3;0,2;0,722435226;0,714;0,710539505
26;tanh;10;3;0,2;0,710360959;0,71025;0,710081384
20;hard_sigmoid;6;3;0,2;0,720767327;0,713;0,709749538
45;relu;3;4;0;0,710557831;0,70975;0,709664275
96;tanh;10;5;0;0,712921068;0,71075;0,709603368
57;relu;6;4;0;0,710904351;0,7095;0,709280285
33;relu;10;3;0;0,721171887;0,71275;0,70925821
25;tanh;10;3;0,1;0,713481388;0,70975;0,707952955
24;tanh;10;3;0;0,711857696;0,70925;0,707904301
17;sigmoid;6;3;0,2;0,721443176;0,71175;0,707775851
47;relu;3;4;0,2;0,71349128;0,7095;0,707595453
37;tanh;3;4;0,1;0,707479445;0,7075;0,707481054
84;tanh;6;5;0;0,706727303;0,70675;0,706711035
60;tanh;10;4;0;0,706710509;0,7065;0,706511814
11;relu;3;3;0,2;0,714553288;0,7085;0,705772374
41;sigmoid;3;4;0,2;0,714052083;0,7075;0,704557448
9;relu;3;3;0;0,710432297;0,70625;0,704213902
53;sigmoid;6;4;0,2;0,718045774;0,70825;0,704121569
92;hard_sigmoid;6;5;0,2;0,721646566;0,709;0,703885507
1;tanh;3;3;0,1;0,709393457;0,7055;0,703569229
56;hard_sigmoid;6;4;0,2;0,713432076;0,70625;0,703033867
46;relu;3;4;0,1;0,709748469;0,705;0,70271124
38;tanh;3;4;0,2;0,70552534;0,703;0,701615109
36;tanh;3;4;0;0,705572207;0,703;0,701594464
77;sigmoid;3;5;0,2;0,714903448;0,7055;0,701421944
5;sigmoid;3;3;0,2;0,701436779;0,7005;0,700378379
104;hard_sigmoid;10;5;0,2;0,727012246;0,70725;0,699630292
83;relu;3;5;0,2;0,716397851;0,70425;0,699112429
73;tanh;3;5;0,1;0,701835772;0,699;0,697424718
49;tanh;6;4;0,1;0,715036665;0,70225;0,696790687
48;tanh;6;4;0;0,696487535;0,6965;0,696424078
62;tanh;10;4;0,2;0,715398541;0,702;0,696304681
13;tanh;6;3;0,1;0,699287635;0,6965;0,694911634
2;tanh;3;3;0,2;0,696212089;0,695;0,694157327
50;tanh;6;4;0,2;0,712140733;0,6995;0,693969261
68;hard_sigmoid;10;4;0,2;0,730268567;0,70325;0,692984402
8;hard_sigmoid;3;3;0,2;0,704620737;0,6965;0,692620028
94;relu;6;5;0,1;0,728169695;0,7015;0,691203159
74;tanh;3;5;0,2;0,704135016;0,6945;0,689931289
72;tanh;3;5;0;0,695843161;0,69175;0,689481028
0;tanh;3;3;0;0,693497468;0,69075;0,689097319
44;hard_sigmoid;3;4;0,2;0,715382681;0,69675;0,688856998
85;tanh;6;5;0,1;0,71399697;0,69625;0,688647459
14;tanh;6;3;0,2;0,694513676;0,68975;0,687129939
98;tanh;10;5;0,2;0,708877523;0,68975;0,681197575
4;sigmoid;3;3;0,1;0,682320804;0,675;0,672571393
86;tanh;6;5;0,2;0,691944071;0,6745;0,665498919
6;hard_sigmoid;3;3;0;0,683276155;0,66925;0,664049797
